COMPANY,EXPERIENCE,LOCATION,TITLE,SALARY,SKILLS
Accronic Private Limited,8 - 10 yrs,Noida,Software Engineer,2833198,Java
Ralph Lauren,8 - 10 yrs,Delhi,Software Engineer,2635561,Java
Smartapp,8 - 10 yrs,Delhi,Software Engineer,2256993,SQL
Sense Talent Labs,8 - 10 yrs,Delhi,Software Engineer,2452023,Oracle
"SAGE IT, INC",8 - 10 yrs,Noida,Software Engineer,2465247,Oracle
Hardesen Technologies,8 - 10 yrs,Noida,Software Engineer,2702214,Oracle
MCLENE Soft Solutions,8 - 10 yrs,Noida,Software Engineer,2323900,C
BGRS,8 - 10 yrs,Delhi,Software Engineer,2662533,Oracle
Bloom Energy India Pvt Ltd,8 - 10 yrs,Gurgaon,Software Engineer,2702253,SQL
Lowes Services India Private limited,8 - 10 yrs,Noida,Software Engineer,2048350,C
Covalensedigital,8 - 10 yrs,Delhi,Software Engineer,2087750,C
Target,8 - 10 yrs,Noida,Software Engineer,2155854,JavaScript
Hardesen Technologies,8 - 10 yrs,Noida,Software Engineer,2232735,JavaScript
Target,8 - 10 yrs,Bengaluru,Software Engineer,2778447,JavaScript
Infinera,8 - 10 yrs,Delhi,Software Engineer,2050326,SQL
AARNA HR SOLUTIONS PVT. LTD.,8 - 10 yrs,Delhi,Software Engineer,2181167,SQL
myGate,8 - 10 yrs,Delhi,Software Engineer,2589177,Oracle
Appriffy-Digital IT Hub,8 - 10 yrs,Noida,Software Engineer,2382760,CSS
Global Talent Pool,8 - 10 yrs,Noida,Software Engineer,2969472,CSS
Target,8 - 10 yrs,Delhi,Software Engineer,2998287,Oracle
PPD,8 - 10 yrs,Noida,Software Engineer,2963390,JavaScript
Seven Consultancy,8 - 10 yrs,Noida,Software Engineer,2693255,C
Momentive Performance Materials Inc.,8 - 10 yrs,Gurgaon,Software Engineer,2617105,Java
Jupiter.money,8 - 10 yrs,Gurgaon,Software Engineer,2945392,CSS
Klub,8 - 10 yrs,Faridabad,Software Engineer,2467088,Java
Ideapoke,8 - 10 yrs,Faridabad,Software Engineer,2097337,SQL
NEWAGE PRODUCT DESIGNS PRIVATE LIMITED,8 - 10 yrs,Noida,Software Engineer,2597651,C
Xpheno,8 - 10 yrs,Delhi,Software Engineer,2121891,C
Benchire,8 - 10 yrs,Noida,Software Engineer,2046561,SQL
CommerceIQ,8 - 10 yrs,Noida,Software Engineer,2710370,Java
CommerceIQ,8 - 10 yrs,Gurgaon,Software Engineer,2579134,Oracle
BNY Mellon,8 - 10 yrs,Gurgaon,Software Engineer,2460903,C
IHS Markit,8 - 10 yrs,Delhi,Software Engineer,2894294,JavaScript
EXL,8 - 10 yrs,Noida,Software Engineer,2056915,SQL
General Mills,8 - 10 yrs,Noida,Software Engineer,2264190,JavaScript
BNY Mellon,8 - 10 yrs,Delhi,Software Engineer,2993893,C
BNY Mellon,8 - 10 yrs,Faridabad,Software Engineer,2206118,JavaScript
BNY Mellon,8 - 10 yrs,Delhi,Software Engineer,2698563,C
BNY Mellon,8 - 10 yrs,Noida,Software Engineer,2131880,CSS
Infogain India (P) Ltd.,8 - 10 yrs,Delhi,Software Engineer,2897083,JavaScript
KPMG,8 - 10 yrs,Delhi,Software Engineer,2295002,Java
Micello India Pvt Ltd,8 - 10 yrs,Delhi,Software Engineer,2659765,Oracle
Logicsoft Technologies,8 - 10 yrs,Delhi,Software Engineer,2262230,Oracle
Calypso Technology India Pvt. Ltd.,8 - 10 yrs,Bengaluru,Software Engineer,2429180,JavaScript
Virtue Analytics,8 - 10 yrs,Delhi,Software Engineer,2188381,JavaScript
Innova Solutions Private Limited,8 - 10 yrs,Gurgaon,Data Scientist,2865155,SQL
Chandigarh University,8 - 10 yrs,Delhi,Data Scientist,2963616,C
GBT India Private Limited,8 - 10 yrs,Delhi,Data Scientist,2971841,C
American Express Global Business Travel,8 - 10 yrs,Noida,Data Scientist,1681920,Python
LENVOY SOFTWARE SUPPORT SERVICES PRIVATE LIMITED,8 - 10 yrs,Noida,Data Scientist,2848920,JavaScript
Moody's,8 - 10 yrs,Gurgaon,Data Scientist,1925716,JavaScript
Micron Tech,8 - 10 yrs,Delhi,Data Scientist,1779868,SQL
Allscripts India pvt. ltd.,8 - 10 yrs,Bengaluru,Data Scientist,2220239,SQL
GBT India Private Limited,8 - 10 yrs,Delhi,Data Scientist,1600146,JavaScript
Press Fit,8 - 10 yrs,Noida,Data Scientist,1856443,SQL
Moody's,8 - 10 yrs,Noida,Data Scientist,2945028,SQL
Moody's,8 - 10 yrs,Delhi,Data Scientist,2241381,JavaScript
olam group,8 - 10 yrs,Gurgaon,Data Scientist,1744505,SQL
MaerskTankersIndiaPrivateLimited,8 - 10 yrs,Noida,Data Scientist,2078477,Python
EXL,8 - 10 yrs,Noida,Data Scientist,2450935,C
TalentStack,8 - 10 yrs,Delhi,Data Scientist,2074402,Python
CGI,8 - 10 yrs,Delhi,Data Scientist,1879410,Excel
Aspire Recruitment Solutions,8 - 10 yrs,Noida,Data Scientist,2611188,PowerBI
EY,8 - 10 yrs,Noida,Data Scientist,2066456,AWS
Impetus,8 - 10 yrs,Delhi,Data Scientist,1862379,Python
Gojek,8 - 10 yrs,Noida,Data Scientist,2888666,SQL
Aspire Recruitment Solutions,8 - 10 yrs,Noida,Data Scientist,1856032,SQL
IBM,8 - 10 yrs,Bengaluru,Data Scientist,1748565,JavaScript
Genpact,8 - 10 yrs,Noida,Data Scientist,2166767,Python
Aspire Recruitment Solutions,8 - 10 yrs,Gurgaon,Data Scientist,2437153,SQL
Tide Software,8 - 10 yrs,Noida,Data Scientist,1750218,Scala
Accenture,8 - 10 yrs,Noida,Data Scientist,2577701,C
Genpact,8 - 10 yrs,Delhi,Data Scientist,1984020,Python
Genpact,8 - 10 yrs,Noida,Data Scientist,2748064,AWS
Uptycs,8 - 10 yrs,Delhi,Data Scientist,2564246,SQL
Accenture,8 - 10 yrs,Gurgaon,Data Scientist,1665569,Python
Genpact,8 - 10 yrs,Chennai,Data Scientist,1777331,Python
Genpact,8 - 10 yrs,Gurgaon,Data Scientist,2735734,PowerBI
Genpact,8 - 10 yrs,Delhi,Data Scientist,2101067,SQL
Aspire Recruitment Solutions,8 - 10 yrs,Gurgaon,Data Scientist,2560557,Python
Aspire Recruitment Solutions,8 - 10 yrs,Gurgaon,Data Scientist,2900826,C
TekFortune Inc.,8 - 10 yrs,Noida,Data Scientist,1669027,Java
Envestnet Yodlee,8 - 10 yrs,Noida,Data Scientist,1676524,SQL
EverForce LLC,8 - 10 yrs,Ghaziabad,Data Scientist,2065909,Scala
Accenture,8 - 10 yrs,Gurgaon,Data Scientist,2029133,SQL
EXL,8 - 10 yrs,Delhi,Data Scientist,1957241,C
Pricewater House Coopers Service Delivery Center Bangalore Private Limited,8 - 10 yrs,Noida,Data Scientist,2368911,SQL
Cargill,8 - 10 yrs,Delhi,Data Scientist,2886773,JavaScript
IBM,8 - 10 yrs,Faridabad,Data Scientist,2146349,SQL
IBM,8 - 10 yrs,Delhi,Data Scientist,1785635,Excel
IBM,8 - 10 yrs,Noida,Data Scientist,1976421,C
IBM,8 - 10 yrs,Delhi,Data Scientist,2700788,JavaScript
BANGALORE STRATEGIC SOLUTIONS PRIVATE LIMITED,8 - 10 yrs,Noida,Data Scientist,1822199,SQL
BANGALORE STRATEGIC SOLUTIONS PRIVATE LIMITED,8 - 10 yrs,Delhi,Data Scientist,2623445,AWS
Huquo Consulting Pvt. Ltd,8 - 10 yrs,Noida,Data Scientist,2227664,Python
IBM,8 - 10 yrs,Delhi,Data Scientist,1917331,Java
Huquo Consulting Pvt. Ltd,8 - 10 yrs,Noida,Data Scientist,1670018,SQL
Synechron,8 - 10 yrs,Delhi,Data Scientist,2554255,SQL
Accenture,8 - 10 yrs,Delhi,Data Scientist,2144592,SQL
Bonami Software Private Limited,8 - 10 yrs,Gurgaon,Data Scientist,1982023,JavaScript
ATYETI,8 - 10 yrs,Noida,Data Scientist,1655379,AWS
Grab,8 - 10 yrs,Noida,Data Scientist,2641042,C
Syncron International AB,8 - 10 yrs,Delhi,Data Scientist,1777746,SQL
sybill,8 - 10 yrs,Gurgaon,Data Scientist,1972003,SQL
Mize software Solutions Pvt ltd,8 - 10 yrs,Delhi,Data Scientist,2620155,Python
DocsApp,8 - 10 yrs,Gurgaon,Data Scientist,2744294,AWS
Skysystems.ai,8 - 10 yrs,Delhi,Data Scientist,2890072,AWS
Eli Lilly and Company,8 - 10 yrs,Delhi,Data Scientist,2723583,SQL
OLIVE GREEN CONSULTING LLP,8 - 10 yrs,Delhi,Data Scientist,2202864,SQL
SKILLVENTORY,8 - 10 yrs,Delhi,Data Scientist,2292626,AWS
Gartner India Research &amp; Advisory Services Pvt Ltd,8 - 10 yrs,Noida,Data Scientist,2726743,AWS
Lear Automotive India Pvt. Ltd.,8 - 10 yrs,Delhi,Data Scientist,2693902,Python
Bristlecone,8 - 10 yrs,Bengaluru,Data Scientist,2309565,SQL
Bristlecone,8 - 10 yrs,Noida,Data Scientist,1844212,SQL
SAP India Pvt.Ltd,8 - 10 yrs,Delhi,Data Scientist,2251404,Java
AdviserLogic,8 - 10 yrs,Noida,Data Scientist,2410140,AWS
Gartner India Research &amp; Advisory Services Pvt Ltd,8 - 10 yrs,Delhi,Data Scientist,2164257,SQL
Epiqsystems India Private Limited,8 - 10 yrs,Noida,Data Scientist,2606098,C
Kyndryl,8 - 10 yrs,Noida,Data Scientist,2118665,C
Vision Beyond Resources India Private Limited,8 - 10 yrs,Delhi,Data Scientist,1956529,C
Zilingo.com,8 - 10 yrs,Gurgaon,Data Scientist,2190731,C
TalentStack,8 - 10 yrs,Gurgaon,Data Scientist,2516156,JavaScript
New Era India Consultancy Pvt. Ltd.,8 - 10 yrs,Delhi,Data Scientist,1742639,SQL
Shell,8 - 10 yrs,Delhi,Data Scientist,2528607,SAS
The Briminc,8 - 10 yrs,Noida,Data Scientist,2332404,SQL
Freelancer Divya Chopra,8 - 10 yrs,Delhi,Data Scientist,2854322,SQL
Mindtree,8 - 10 yrs,Bengaluru,Data Scientist,1962984,JavaScript
Aampe,8 - 10 yrs,Bengaluru,Data Scientist,2165301,JavaScript
Prime Infosoft,8 - 10 yrs,Delhi,Data Scientist,2405733,PowerBI
Ezeiatech Systems Private Limited,8 - 10 yrs,Noida,Data Scientist,2132988,SQL
FogHorn,8 - 10 yrs,Gurgaon,Data Scientist,2715977,JavaScript
ARA Resources Private Limited,8 - 10 yrs,Gurgaon,Data Scientist,1926169,SQL
Moody's,8 - 10 yrs,Delhi,Data Scientist,1898707,R
IBM,8 - 10 yrs,Delhi,Data Scientist,2271867,Java
HighRadius,8 - 10 yrs,Gurgaon,Data Scientist,2493851,JavaScript
TalentStack,8 - 10 yrs,Noida,Data Scientist,2324909,AWS
Benchire,8 - 10 yrs,Noida,Data Scientist,2714681,C
TalentStack,8 - 10 yrs,Noida,Data Scientist,2302209,Python
TalentStack,8 - 10 yrs,Noida,Data Scientist,2937535,Python
Huquo Consulting Pvt. Ltd,8 - 10 yrs,Noida,Data Scientist,2992714,JavaScript
Nitor Infotech Pvt. Ltd,8 - 10 yrs,Noida,Data Scientist,2924471,SQL
Optum,8 - 10 yrs,Delhi,Data Scientist,2805021,SQL
Wells Fargo,8 - 10 yrs,Noida,Data Scientist,1719781,Java
JPMorgan Chase Bank,8 - 10 yrs,Noida,Data Scientist,2069819,SAS
Hucon Solutions,8 - 10 yrs,Noida,Data Scientist,2232033,Java
TalentStack,8 - 10 yrs,Gurgaon,Data Scientist,2930784,Java
TalentStack,8 - 10 yrs,Noida,Data Scientist,2763964,SQL
Benchire,8 - 10 yrs,Noida,Data Scientist,1841828,C
TalentStack,8 - 10 yrs,Noida,Data Scientist,2470602,SQL
Benchire,8 - 10 yrs,Noida,Data Scientist,2253420,C
Info Corporate Service,8 - 10 yrs,Delhi,Data Scientist,1659786,SQL
Ingenuity Inc,8 - 10 yrs,Delhi,Data Scientist,1777064,Java
TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,8 - 10 yrs,Delhi,Data Scientist,2055792,Excel
Mindtree,8 - 10 yrs,Noida,Data Scientist,2030874,Excel
REWARD360 GLOBAL SERVICES PRIVATE LIMITED,8 - 10 yrs,Noida,Data Scientist,2227938,SQL
milestone internet marketing pvt ltd,8 - 10 yrs,Gurgaon,Data Scientist,2841594,JavaScript
REWARD360 GLOBAL SERVICES PRIVATE LIMITED,8 - 10 yrs,Delhi,Data Scientist,1762494,SQL
TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,8 - 10 yrs,Noida,Data Scientist,1937276,SQL
Syngenta,8 - 10 yrs,Gurgaon,Data Scientist,2396916,Python
milestone internet marketing pvt ltd,8 - 10 yrs,Bengaluru,Data Scientist,1812799,Oracle
IBM,8 - 10 yrs,Bengaluru,Data Scientist,1697880,SAS
Prevalent AI India Private Limited,8 - 10 yrs,Delhi,Data Scientist,2589318,JavaScript
Meredith Corporation,8 - 10 yrs,Delhi,Data Scientist,2924310,JavaScript
ITC Infotech,8 - 10 yrs,Noida,Data Scientist,2509636,SQL
Clarivate,8 - 10 yrs,Gurgaon,Data Scientist,2115655,SQL
"Qualcomm Technologies, Inc",8 - 10 yrs,Noida,Data Scientist,2313568,AWS
Terrabit,8 - 10 yrs,Noida,Data Scientist,2815077,Scala
Quadratyx,8 - 10 yrs,Delhi,Data Scientist,2391146,C
COVENANTMINDS PRIVATE LIMITED,8 - 10 yrs,Gurgaon,Data Scientist,2928114,Oracle
IBM,8 - 10 yrs,Noida,Data Scientist,2447321,SQL
FutureSoft (India),8 - 10 yrs,Kanpur,Data Scientist,1648888,C
Liquiloans,8 - 10 yrs,Delhi,Data Scientist,2440933,Scala
Liquiloans,8 - 10 yrs,Bengaluru,Data Scientist,2586854,SQL
Mindtree,8 - 10 yrs,Delhi,Data Scientist,2594612,C
Accenture,8 - 10 yrs,Noida,Data Scientist,2083533,SQL
Accenture,8 - 10 yrs,Noida,Data Scientist,2445886,SQL
Accenture,8 - 10 yrs,Noida,Data Scientist,2531931,SQL
Mphasis,8 - 10 yrs,Delhi,Data Scientist,2726774,SQL
EXL,8 - 10 yrs,Delhi,Data Scientist,2639999,Python
Bajaj Finserv,8 - 10 yrs,Delhi,Data Scientist,1893212,JavaScript
SAS Research and Developement (India) Pvt Ltd,8 - 10 yrs,Gurgaon,Data Scientist,2104448,SQL
eNFLUENCE IT Services Pvt. Ltd.,8 - 10 yrs,Noida,Data Scientist,2165682,SQL
PCCW Solutions,8 - 10 yrs,Delhi,Data Scientist,2791490,JavaScript
Splash M,8 - 10 yrs,Delhi,Data Scientist,2439682,AWS
Rage Coffee,8 - 10 yrs,Delhi,Data Scientist,2526243,AWS
SplashLearn,8 - 10 yrs,Delhi,Data Scientist,2716416,SQL
Huquo Consulting Pvt. Ltd,8 - 10 yrs,Delhi,Data Scientist,2800764,SQL
Huquo Consulting Pvt. Ltd,8 - 10 yrs,Gurgaon,Data Scientist,2481527,C
C42 Engineering India Pvt. Ltd.,8 - 10 yrs,Delhi,Data Scientist,2838288,AWS
Bluebear Technology Private Limited,8 - 10 yrs,Delhi,Data Scientist,1764842,Java
Anlage Infotech (I) Pvt. Ltd.,8 - 10 yrs,Gurgaon,Data Scientist,2043463,AWS
Boeing,8 - 10 yrs,Noida,Data Scientist,1720894,SQL
Russell Tobin Associates Staffing Solutions India Pvt Ltd,8 - 10 yrs,Noida,Data Scientist,2809357,SQL
Resource Drive Consulting Private Limited,8 - 10 yrs,Delhi,Data Scientist,1732877,SQL
"People First Consultants Pvt Ltd.,",8 - 10 yrs,Noida,Data Scientist,2576421,SQL
Netlink,8 - 10 yrs,Delhi,Data Scientist,1882090,Python
XpressBees,8 - 10 yrs,Delhi,Data Scientist,1694875,SQL
Anlage Infotech (I) Pvt. Ltd.,8 - 10 yrs,Delhi,Data Scientist,1801160,SQL
Zepto,8 - 10 yrs,Delhi,Data Scientist,1967965,SQL
Lowes Services India Private limited,8 - 10 yrs,Noida,Data Scientist,2210428,Scala
REConnect Energy,8 - 10 yrs,Noida,Data Scientist,2370431,AWS
REConnect Energy,8 - 10 yrs,Noida,Data Scientist,2153784,R
Essex Profit Enhancement Advisory Services Pvt Ltd,8 - 10 yrs,Delhi,Data Scientist,2255996,JavaScript
Pylon Management Consulting Pvt Ltd,8 - 10 yrs,Noida,Data Scientist,1840758,Python
Media 7,8 - 10 yrs,Gurgaon,Data Scientist,1913811,SQL
Momentive Performance Materials Inc.,8 - 10 yrs,Delhi,Data Scientist,2625545,JavaScript
MarketOne International.,8 - 10 yrs,Noida,Data Scientist,1944225,Python
Pan Asia HR Solution Private Limited,8 - 10 yrs,Gurgaon,Data Scientist,2010628,Scala
Datamatics Global services Ltd.,8 - 10 yrs,Bengaluru,Data Scientist,2338933,PowerBI
TalentAll Recruitment Services,8 - 10 yrs,Noida,Data Scientist,2724979,AWS
BNY Mellon,8 - 10 yrs,Gurgaon,Data Scientist,2446558,Scala
BNY Mellon,8 - 10 yrs,Delhi,Data Scientist,2786678,SQL
BNY Mellon,8 - 10 yrs,Bengaluru,Data Scientist,2505528,Scala
BNY Mellon,8 - 10 yrs,Noida,Data Scientist,1870923,AWS
BNY Mellon,8 - 10 yrs,Noida,Data Scientist,2255592,R
BNY Mellon,8 - 10 yrs,Gurgaon,Data Scientist,2091830,AWS
BNY Mellon,8 - 10 yrs,Delhi,Data Scientist,2851842,SQL
BNY Mellon,8 - 10 yrs,Delhi,Data Scientist,2254145,SQL
BNY Mellon,8 - 10 yrs,Gurgaon,Data Scientist,1789054,SQL
BNY Mellon,8 - 10 yrs,Delhi,Data Scientist,1768898,AWS
BNY Mellon,8 - 10 yrs,Noida,Data Scientist,2423400,AWS
BNY Mellon,8 - 10 yrs,Gurgaon,Data Scientist,2769252,SQL
BNY Mellon,8 - 10 yrs,Noida,Data Scientist,2562517,R
BNY Mellon,8 - 10 yrs,Faridabad,Data Scientist,2781083,SQL
BNY Mellon,8 - 10 yrs,Gurgaon,Data Scientist,1725096,AWS
BNY Mellon,8 - 10 yrs,Delhi,Data Scientist,2046567,AWS
BNY Mellon,8 - 10 yrs,Faridabad,Data Scientist,2681621,Python
BNY Mellon,8 - 10 yrs,Gurgaon,Data Scientist,1842063,SQL
BNY Mellon,8 - 10 yrs,Delhi,Data Scientist,2880256,JavaScript
BNY Mellon,8 - 10 yrs,Noida,Data Scientist,1687322,SQL
BNY Mellon,8 - 10 yrs,Delhi,Data Scientist,2864234,Java
BNY Mellon,8 - 10 yrs,Noida,Data Scientist,1655605,Python
Infogain India (P) Ltd.,8 - 10 yrs,Delhi,Data Scientist,2681495,SQL
BNY Mellon,8 - 10 yrs,Gurgaon,Data Scientist,2350886,C
BNY Mellon,8 - 10 yrs,Delhi,Data Scientist,2563884,Python
BNY Mellon,8 - 10 yrs,Noida,Data Scientist,2655418,AWS
Pristyn Care,8 - 10 yrs,Noida,Data Scientist,2445713,C
Echofeel Software Solutions,8 - 10 yrs,Noida,Data Scientist,1904469,SQL
Elshaddai Global Solutions,8 - 10 yrs,Delhi,Data Scientist,1779134,Scala
MSR IT Solution,8 - 10 yrs,Noida,Data Scientist,2953212,AWS
American Express Global Business Travel,8 - 10 yrs,Delhi,Data Scientist,1962975,R
Anicalls,8 - 10 yrs,Noida,Data Scientist,2427707,Oracle
NeST Digital,8 - 10 yrs,Gurgaon,Data Scientist,2756891,AWS
Priceline.com,8 - 10 yrs,Gurgaon,Data Scientist,2187768,SQL
Hansen Technologies,8 - 10 yrs,Noida,Data Scientist,2357850,JavaScript
Datacultr,8 - 10 yrs,Noida,Data Scientist,1811851,C
Shell,8 - 10 yrs,Delhi,Data Scientist,2274045,Java
TransUnion,8 - 10 yrs,Delhi,Data Scientist,1820684,AWS
RSPL Group,8 - 10 yrs,Delhi,Data Scientist,1979669,JavaScript
KVC Consultants Ltd..,8 - 10 yrs,Faridabad,Data Scientist,2588892,SQL
Seven Consultancy (HR Solution),8 - 10 yrs,Delhi,Data Scientist,1882522,Java
Easebuzz Private Limited,8 - 10 yrs,Gurgaon,Data Scientist,2493347,Azure
SourceHOV (A Lason India Company),8 - 10 yrs,Noida,Data Scientist,2429691,Azure
InI Consulting Pvt. Ltd.,8 - 10 yrs,Delhi,Data Scientist,2454726,AWS
InI Consulting Pvt. Ltd.,8 - 10 yrs,Delhi,Data Scientist,2966951,Azure
Customized Energy Solutions,8 - 10 yrs,Bengaluru,Data Scientist,2705894,Azure
Virtue Analytics,8 - 10 yrs,Noida,Data Scientist,2731433,Azure
Vahdam Teas,8 - 10 yrs,Gurgaon,Data Scientist,2195548,Oracle
Hungry Bird Consulting Services Pvt Ltd.,8 - 10 yrs,Delhi,Data Scientist,2829130,SQL
STREAMSOURCE TECHNOLOGIES INDIA PRIVATE LIMITED,8 - 10 yrs,Delhi,Data Scientist,2396843,SQL
Coretus Technologies,8 - 10 yrs,Noida,Data Scientist,1623072,Python
Seven Consultancy (HR Solution),8 - 10 yrs,Noida,Data Scientist,1782830,SQL
i-XL Technologies,8 - 10 yrs,Delhi,Data Scientist,2185676,SQL
Seven Consultancy (HR Solution),8 - 10 yrs,Noida,Data Scientist,2174741,SQL
Seven Consultancy (HR Solution),8 - 10 yrs,Noida,Data Scientist,2107006,R
AgreeYa,8 - 10 yrs,Gurgaon,Data Scientist,1824033,Azure
Aspiration,8 - 10 yrs,Noida,Data Scientist,1959416,Azure
Skill Lync,8 - 10 yrs,Bengaluru,Data Scientist,1857007,Python
Rayna Group Pvt. Ltd.,8 - 10 yrs,Gurgaon,Data Scientist,2409954,Oracle
Decision Point Analytics,8 - 10 yrs,Delhi,Data Scientist,2859244,SQL
Civica,8 - 10 yrs,Delhi,Data Scientist,2680828,AWS
e-ql Business Solutions Private Limited,8 - 10 yrs,Gurgaon,Data Scientist,2753534,Python
CarbyneTech India,8 - 10 yrs,Delhi,Data Scientist,2173513,AWS
Visteon,8 - 10 yrs,Noida,Data Scientist,2004745,SQL
Calypso Technology India Pvt. Ltd.,8 - 10 yrs,Noida,Data Scientist,1915974,Azure
Calypso Technology India Pvt. Ltd.,8 - 10 yrs,Delhi,Data Scientist,2571021,Azure
Calypso Technology India Pvt. Ltd.,8 - 10 yrs,Delhi,Data Scientist,1854113,Python
Calypso Technology India Pvt. Ltd.,8 - 10 yrs,Noida,Data Scientist,2740760,Azure
Calypso Technology India Pvt. Ltd.,8 - 10 yrs,Noida,Data Scientist,2399847,Python
Calypso Technology India Pvt. Ltd.,8 - 10 yrs,Gurgaon,Data Scientist,1626120,Azure
Calypso Technology India Pvt. Ltd.,8 - 10 yrs,Delhi,Data Scientist,1631600,Azure
IncubXperts,8 - 10 yrs,Noida,Data Scientist,1776516,SQL
CONDECO SOFTWARE PRIVATE LIMITED,8 - 10 yrs,Noida,Data Scientist,2093058,Azure
Blockseed Consultancy Private Limited,8 - 10 yrs,Gurgaon,Data Scientist,2301667,Python
Dream Soft4u Pvt. Ltd.,8 - 10 yrs,Bengaluru,Data Scientist,2323807,SQL
Indrasur Consulting Services Private Limited,8 - 10 yrs,Noida,Data Scientist,2901505,AWS
Seven Consultancy,8 - 10 yrs,Gurgaon,Data Scientist,1985687,Azure
Eppendorf India Ltd,8 - 10 yrs,Gurgaon,Data Scientist,1819359,Azure
CogNext,8 - 10 yrs,Delhi,Data Scientist,2742500,Azure
Vakilsearch Pvt Ltd.,8 - 10 yrs,Noida,Data Scientist,2753262,Tableau
Elshaddai Global Solutions,8 - 10 yrs,Noida,Data Scientist,2388386,Azure
Checktronix India Pvt. Ltd.,8 - 10 yrs,Noida,Data Scientist,1810183,Python
Smartanalyst India Pvt Ltd,8 - 10 yrs,Noida,Data Scientist,1624272,Azure
KD Group of Industries,8 - 10 yrs,Faridabad,Data Scientist,1822214,SQL
iFAST Financial India Pvt Ltd,8 - 10 yrs,Noida,Data Scientist,1807981,AWS
HiCounselor Inc,8 - 10 yrs,Bengaluru,Data Scientist,2722483,Oracle
WPP IT,8 - 10 yrs,Pune,Data Scientist,2655066,SQL
HEXONICA,8 - 10 yrs,Gurgaon,Data Scientist,1601776,Python
Pentair Clean Process Technology India Pvt Ltd,8 - 10 yrs,Noida,Data Scientist,1804292,Azure
Elsner Technologies Pvt. Ltd,8 - 10 yrs,Bengaluru,Data Scientist,1967577,Oracle
Elsner Technologies Pvt. Ltd,8 - 10 yrs,Noida,Data Scientist,2003212,Azure
Teletext India Limited,8 - 10 yrs,Bengaluru,Data Scientist,2013570,Azure
KVC Consultants Ltd..,8 - 10 yrs,Noida,Data Scientist,2222012,Azure
Interactive Brokers,8 - 10 yrs,Delhi,Data Scientist,2399622,Azure
olam group,8 - 10 yrs,Noida,Data Scientist,1888729,SQL
CD CloudEnablers Private Limited,8 - 10 yrs,Pune,Data Scientist,2168937,Python
Tech Vedika,8 - 10 yrs,Delhi,Data Scientist,2243759,Tableau
Coforge,8 - 10 yrs,Delhi,Data Scientist,1841913,Azure
PandoCorp,8 - 10 yrs,Noida,Data Scientist,1715105,PowerBI
Universal Manpower Online,8 - 10 yrs,Noida,Data Scientist,2074289,SQL
BA Continuum,8 - 10 yrs,Delhi,Data Scientist,2887194,Azure
Govindah Nutrition Pvt Ltd,8 - 10 yrs,Delhi,Data Scientist,2460858,Azure
CoreStack,8 - 10 yrs,Delhi,Data Scientist,2698849,Azure
TATA CAPITAL LTD,8 - 10 yrs,Delhi,Data Scientist,2392001,Azure
"Ryan, LLC.",8 - 10 yrs,Delhi,Data Scientist,1847415,Azure
Talent Zone Consultant,8 - 10 yrs,Noida,Data Scientist,2609673,AWS
Testbook Edu Solutions,8 - 10 yrs,Noida,Data Scientist,2316263,GCP
CloudTrains Technologies,8 - 10 yrs,Delhi,Data Scientist,2322571,GCP
Diverse Lynx,8 - 10 yrs,Gurgaon,Data Scientist,2728960,SQL
X10 Financial Services Ltd.,8 - 10 yrs,Delhi,Data Scientist,1878788,SQL
Entra Solutions Private Limited,8 - 10 yrs,Gurgaon,Data Scientist,2597784,AWS
Exela EHRS Hiring for NUKG Business Solutions,8 - 10 yrs,Bengaluru,Data Scientist,1735484,GCP
Corning Technologies,8 - 10 yrs,Noida,Data Scientist,1616942,AWS
Swathi Business,8 - 10 yrs,Noida,Data Scientist,2949660,AWS
Clifyx Technology.,8 - 10 yrs,Gurgaon,Data Scientist,2225024,R
Squircle IT Consulting Services Pvt Ltd,8 - 10 yrs,Bengaluru,Data Scientist,2420647,AWS
idfc first bank,8 - 10 yrs,Gurgaon,Data Scientist,1846646,R
Applications Software Technology Corporation,8 - 10 yrs,Noida,Data Scientist,2262041,Python
AST LLC,8 - 10 yrs,Noida,Data Scientist,2450542,GCP
Virtue Analytics,8 - 10 yrs,Gurgaon,Data Scientist,2413010,SQL
Micron Tech,8 - 10 yrs,Faridabad,Data Scientist,2243493,GCP
"F5 Networks, Inc",8 - 10 yrs,Noida,Data Scientist,2190018,GCP
Bosc Tech Labs Private Limited,8 - 10 yrs,Delhi,Data Scientist,2668249,GCP
Squircle IT Consulting Services Pvt Ltd,8 - 10 yrs,Noida,Data Scientist,2102355,Python
Move One,8 - 10 yrs,Gurgaon,Data Scientist,1996864,GCP
Bussr,8 - 10 yrs,Gurgaon,Data Scientist,1738204,Python
Takshashila Consulting,8 - 10 yrs,Noida,Data Scientist,2047245,GCP
YAN IT SOLUTIONS,8 - 10 yrs,Faridabad,Data Scientist,2821621,AWS
Shell,8 - 10 yrs,Faridabad,Data Scientist,2922532,GCP
Harsco,8 - 10 yrs,Noida,Data Scientist,1628265,Python
olam group,8 - 10 yrs,Noida,Data Scientist,2371920,GCP
Qubit AI,8 - 10 yrs,Delhi,Data Scientist,2030753,GCP
softobiz technologies Pvt ltd,8 - 10 yrs,Gurgaon,Data Scientist,2418444,Python
